sd,pd,os,bs,target_co_simplified,target_pr_simplified
pde quickfix creates invalid @since tag,PDE,Linux,VERIFIED,Other,P3
grant access to projects storage service to the jenkins instance of project tea,Community,Linux,CLOSED,CI-Jenkins,P3
add relation information to rest-api,MDMBL,All,CLOSED,General,P3
provide platform independent plug-in to set the os dark theme,Platform,Linux,CLOSED,UI,P3
"inline method refacting reports ""inaccurate references to method found""",JDT,Linux,RESOLVED,UI,P3
call hierarchy incorrectly includes binary artifacts,JDT,Linux,VERIFIED,Core,P3
run apianalysisbuilder only when the contents of the preference file has changed,PDE,Windows 7,NEW,Other,P3
run pde compiler only when the contents of the preference file has changed,PDE,Windows 7,NEW,UI,P3
ui freezes in pluginsview,PDE,Linux,VERIFIED,UI,P3
ui freeze in org.eclipse.ui.dialogs.filteredtree,Platform,Linux,RESOLVED,UI,P3
cpd dialog should have a consistent usage of setusehashlookup for menu and action tree viewer,Platform,All,RESOLVED,UI,P3
"openj9: git failing on master, builds blocked",Community,Linux,CLOSED,CI-Jenkins,P3
openj9 badge plugin not working,Community,Linux,CLOSED,CI-Jenkins,P3
openj9 pull requests flooded with comments from jenkins,Community,Linux,CLOSED,CI-Jenkins,P3
cant import existing local git project,EGit,Windows 10,NEW,UI,P3
remove resourcenavigator from show-in menu,Platform,Linux,RESOLVED,UI,P3
[styledtext] disabling styledtext moves insertion position to 0,Platform,Linux,VERIFIED,SWT,P3
project explorer loses last selected working set,Platform,Windows 10,CLOSED,UI,P3
go build on codewind failed with signal killed,Community,Mac OS X,CLOSED,CI-Jenkins,P3
quick search preview area too small,Platform,Windows 10,RESOLVED,Text,P3
wrong tooltips quicksearch preference page,Platform,Windows 10,RESOLVED,Text,P3
[gtk] long delay in deleting all items from a virtual table,Platform,Linux,NEW,SWT,P3
use setusehashlookup in internal org.eclipse.e4.ui.dialogs.filteredtree.filteredtree,Platform,Linux,RESOLVED,UI,P3
update find_strings query to show detailed progress,MAT,Mac OS X,RESOLVED,Core,P3
openj9 ci ioexception: cannot allocation memory for randomaccessfile,Community,Mac OS X,CLOSED,CI-Jenkins,P3
use e4 filteredtree in logview,Platform,Linux,RESOLVED,UI,P3
use e4 filteredtree in showview dialog,Platform,Linux,CLOSED,UI,P3
use e4 filteredtree in installediugroup,Equinox,Linux,RESOLVED,Other,P3
multiple layout issues in launch configuration dialog,Platform,Windows 10,CLOSED,Debug,P3
release e4 filteredtree as api,Platform,Linux,RESOLVED,UI,P3
[quicksearch] superfluous slash in path,Platform,Windows 10,RESOLVED,UI,P3
[test][12] disagreements vs. javac at 12,JDT,Linux,NEW,Core,P3
redirect to relative path is blocked,JGit,Mac OS X,RESOLVED,JGit,P3
use project scheduling rule for pluginmodelmanager job,PDE,Linux,NEW,UI,P3
remove unnecessary activator webbrowsertestsplugin,Platform,Linux,RESOLVED,UI,P3
update application model code (emf) with the fixes for bug 548575 and bug 546714,Platform,Linux,RESOLVED,UI,P3
use stringbuilder instead of stringbuffer in eclipse.platform.ua,Platform,Linux,RESOLVED,Other,P3
investigate if forced activation in internalplatform#start is still necessary,Platform,All,RESOLVED,Runtime,P3
y build showing comparator error in platform.ua for jsp files,Platform,All,RESOLVED,Releng,P3
eclipse genie fails to create cq repeatedly,Community,Windows 10,RESOLVED,Other,P3
cannot set a decorator to change the width of connections,Graphiti,All,ASSIGNED,Core,P3
[quicksearch] ignored file extensions must be checked case insensitive,Platform,Windows 10,RESOLVED,UI,P3
release preparations for v0.7.0,Ease,All,CLOSED,General,P3
2 compile warnings in official build,JDT,All,VERIFIED,UI,P3
[c++ codegen] should enable to call a method via reference in the entry behavior of a the starting state of state machine,Papyrus,Windows 10,ASSIGNED,Other,P3
remove copied textutils again,ECP,All,NEW,EMF Forms,P3
ease jipp does not trigger on gerrit commits,Community,Linux,CLOSED,CI-Jenkins,P3
"remove ""are you sure you want to "" from text",Platform,Linux,RESOLVED,Debug,P3
"remove ""are you sure you want to "" from text",PDE,Linux,VERIFIED,UI,P3
all coonections are black in the editor that is open at start,4DIAC,Windows 10,CLOSED,4DIAC-IDE,P3
engine termination should be improved,Ease,All,CLOSED,Other,P3
"remove ""are you sure you want to "" from text",Equinox,Linux,RESOLVED,Other,P3
http://www.eclipse.org/qvt/1.0.0/operational is not properly registered.,QVTo,Windows 10,RESOLVED,Other,P3
update pde templates to not use deprecated abstractuiplugin#imagedescriptorfromplugin,PDE,Linux,VERIFIED,UI,P3
import existing projects wizard does not close project imported from archive,Platform,Linux,CLOSED,UI,P3
[quicksearch] missing menu item for quick text search,Platform,All,RESOLVED,UI,P3
[quicksearch] the quick text search dialog and menu item are missing mnemonics,Platform,All,RESOLVED,UI,P3
[quicksearch] name mismatch in ui and n&n,Platform,All,RESOLVED,UI,P3
[styled text] typing ~~ in combination with ²&~# inserts é~~,Platform,Windows All,VERIFIED,SWT,P3
run the new use autoboxing - use unboxing cleanup on eclipse.platform.ui,Platform,Linux,RESOLVED,UI,P3
change title bar of systemconfiguration editor to better indicate that it is the system configuration,4DIAC,Linux,CLOSED,4DIAC-IDE,P3
use arraydeque rather than stack,PDE,Linux,VERIFIED,UI,P3
classfile.addfieldinfos throws arrayindexoutofboundsexception,JDT,All,RESOLVED,Core,P3
creating new application in default system(project),4DIAC,Windows 10,CLOSED,4DIAC-IDE,P3
please include setup for project eclipse capra,Oomph,Mac OS X,RESOLVED,Other,P3
tracking bug for inclusion of eclipse capra in oomph project catalogue,Capra,Mac OS X,RESOLVED,Releng,P3
arrayindexoutofboundsexception in java search,JDT,Mac OS X,NEW,Core,P3
empty action is not visible in the property sheet,4DIAC,Windows 10,CLOSED,4DIAC-IDE,P3
openj9: 2 zlinux nodes offline,Community,Linux,CLOSED,CI-Jenkins,P3
use stringbuilder instead of stringbuffer,Equinox,Linux,RESOLVED,Other,P3
generating autocomplete from xsd crashes eclipse,WTP Source Editing,Windows 10,NEW,Other,P3
emodelservice#cloneelement does also clone transient data and widget ref,Platform,Linux,CLOSED,UI,P3
diagram validation does not validate all visible elements,Sirius,Windows 10,NEW,Diagram,P3
request for commit rights to simrel repo,Community,All,CLOSED,Other,P3
openj9: git doesn't work on windows nodes after migration,Community,Linux,CLOSED,CI-Jenkins,P3
peparser doesn't parse 64 bit executables correctly,CDT,Windows 10,RESOLVED,Other,P3
[13] 2 jdt ui tests failing in the y-build y20190812-0900,JDT,All,RESOLVED,UI,P3
"a ""search for dependency and add to target-platform"" quickfix",PDE,All,NEW,UI,P3
[release] ee4j.cdi 2.0.0,Community,All,RESOLVED,Proposals and Reviews,P3
"the ""ฏู"" character is truncated vertically in a label on mac os",Platform,Mac OS X,CLOSED,SWT,P3
[impl] javacore.getallversions() should return an immutable list (or a copy),JDT,Linux,VERIFIED,Core,P3
the check for git-based projects seems to be too generic,EGit,All,RESOLVED,UI,P3
[formatter] ui changes related to blank lines settings,JDT,All,RESOLVED,UI,P3
"'unresolved inclusion ""arduino.h""' problem might be due to incorrect source files?",CDT,Windows 10,CLOSED,Other,P3
integrate features from the generic editor,JSDT,All,RESOLVED,General,P3
two breakpoint at single line when debug executable file compiled by gcc8.1,TCF,Linux,RESOLVED,Other,P3
ui freezes when opening/modifying/closing any servlet or servletcontextlistener,JDT,Windows 10,NEW,UI,P3
provide access ci access to jakarta ee specification committee,Community,Mac OS X,CLOSED,CI-Jenkins,P3
ssh access hangs with no error on https://ci.eclipse.org/jakartaee-spec-committee/job/promote-release,Community,Mac OS X,CLOSED,CI-Jenkins,P3
urisyntaxexception if aut location contains spaces,RCPTT,Windows 10,RESOLVED,IDE,P3
eclipse ignores -vm setting in eclipse.ini if restarted.,Platform,Linux,REOPENED,Runtime,P3
org.eclipse.jdt.compiler.apt.tests needs version increase,JDT,All,VERIFIED,Other,P3
[dark theme] sash is bright in forms,Platform,Windows 10,RESOLVED,UI,P3
update platform to jetty 9.4.20,Platform,All,RESOLVED,Releng,P3
add constructor to filtereditemsselectiondialog to activate usehashcode and deprecate the others,Platform,Linux,NEW,UI,P3
c/c++ formatter eats whitespace if function declaration includes macro resulting in joined method+macro name,CDT,Linux,VERIFIED,Other,P3
[release] technology.passage 0.6.0,Community,All,RESOLVED,Proposals and Reviews,P3
[release] technology.reddeer 2.7.0,Community,All,RESOLVED,Proposals and Reviews,P3
closing the tree in project explorer should scroll to the correct top level element (project),Platform,Linux,CLOSED,UI,P3
program outline disappears when debugging,Platform,Windows 10,RESOLVED,Debug,P3
[quicksearch] strings not externalized,Platform,All,RESOLVED,Text,P3
remove outdated target milestones for eclipse top level project,Platform,Linux,RESOLVED,IDE,P3
offer a way to add language servers via a preference page,lsp4e,Linux,CLOSED,General,P3
text selection in not editable cdatetime widget should be as simple text selection,z_Archived,Windows 10,RESOLVED,Other,P3
[13][quick fix] text block: no quick fix to enable preview feature when using text block,JDT,All,RESOLVED,UI,P3
align resource perspective with java (and other) perspectives,Platform,Linux,RESOLVED,UI,P3
"[13] text block: return after """""" should align below """"""",JDT,All,RESOLVED,Text,P3
"[13] text block: return after """""" place caret on next line not after """""";",JDT,All,RESOLVED,Text,P3
"[13] text block: closing """"""; should not be added if auto-close string preference is off",JDT,All,RESOLVED,Text,P3
please reset (clear) the new repository org.eclipse.app4mc.addon.migration,Community,All,CLOSED,Other,P3
junit tests are failed on windows,JGit,Windows 10,NEW,JGit,P3
oomph configurator should offer dark theme,Oomph,Linux,NEW,Other,P3
[13] text block: cumbersome to enter a text block into the editor,JDT,All,VERIFIED,Text,P3
jgit doesn't work if securitymanager is enabled,JGit,Windows 10,RESOLVED,JGit,P3
codewind pr allow merge without a review approval as a prereq,Community,All,CLOSED,GitHub,P3
"""jre missing"" installation page links to jdk downloads on some of its ""oracle jre"" links",Oomph,Windows NT,VERIFIED,Other,P3
developer mailing list for proj4j project,Community,Mac OS X,RESOLVED,Other,P3
"""jre missing"" installation page touts eclipse ide 2019-03 as latest",Community,Windows NT,REOPENED,Website,P3
ui freeze in preferencedialog / filteredpreferencedialog,Platform,Linux,RESOLVED,UI,P3
"eclipse for php developers creates shortcut named ""eclipse php latest released""",Oomph,Windows NT,RESOLVED,Other,P3
deferred context updates not working properly due to unordered handling,Platform,Linux,RESOLVED,UI,P3
https://repo.locationtech.org/ is unavailable,Community,Linux,RESOLVED,Other,P3
eclipse is constantly freezing,Platform,Windows 10,CLOSED,UI,P3
update filteredtree usage to use setusehashlookup,PDE,Linux,RESOLVED,UI,P3
update show view tree usage to use setusehashlookup,Platform,Linux,RESOLVED,UI,P3
[terminate] modeling.pmf,Community,Linux,RESOLVED,Proposals and Reviews,P3
[cleanup] remove redundant array creation,JDT,Linux,VERIFIED,UI,P3
"community product description calls bugs.eclipse.org ""bugzilla""",Community,Linux,CLOSED,Other,P3
"""community"" product's name is misleading",Community,All,NEW,Other,P3
i-build (i20190815) failed as swt build step didn't complete,Platform,Mac OS X,RESOLVED,Releng,P3
provide service to notarise mac app,CBI,Mac OS X,CLOSED,Other,P3
improve startup time (performance ) of the eclipse sdk 4.14,Platform,All,RESOLVED,IDE,P3
[13] merge issues with beta branch: impact of previewenabled check in dom on jdt ui,JDT,All,RESOLVED,UI,P3
code recommenders cannot download model repository index,Platform,Windows 10,CLOSED,IDE,P3
pde validation dialog should also be centered,PDE,Linux,VERIFIED,UI,P3
eclipse release notes are hard to find,Platform,Windows 10,NEW,Releng,P3
[room] improve implementation of scoping (avoid dispatching by name),eTrice,Windows 10,RESOLVED,Core,P3
very high ram consumption on mac os,Platform,Mac OS X,CLOSED,SWT,P3
chemclipse switch to default branch: develop,Community,Linux,CLOSED,GitHub,P3
resource already exists on disk error in the log,EGit,Linux,NEW,Core,P3
add smart import wizard to quicklinks in project explorer,Platform,Linux,CLOSED,UI,P3
ui freeze during compare,Platform,Linux,CLOSED,Other,P3
swtbottoolbardropdownbutton#menuitem(...) very unreliable in wayland,SWTBot,Linux,NEW,Other,P3
use action orientated label for closing events dialogs,Platform,Linux,RESOLVED,UI,P3
can't connect to update sites using basic auth,Equinox,Linux,NEW,Other,P3
ui freeze in newkeyspreferencepage,Platform,Linux,RESOLVED,UI,P3
"after opening a new console, swtkeyboardstrategy cannot type there",SWTBot,Linux,NEW,Other,P3
port mylyn's controllistviewer and controllistitem to platform,Platform,All,CLOSED,UI,P3
don't hide breakpoint icons behind light bulb icons,Platform,All,VERIFIED,Debug,P3
use tableviewer in quickaccesscontents instead of table,Platform,Linux,CLOSED,UI,P3
performance regression in genericpatternmatch positional accessors,Viatra,Windows 10,RESOLVED,Other,P3
what to do when a product-component bugs are not replied/attended to?,Community,Windows 10,RESOLVED,Other,P3
error caused when trying to call class methods,Platform,Windows 8,CLOSED,IDE,P3
update liberty server adapter discovery update site url for 2019-06,WTP ServerTools,Mac OS X,RESOLVED,Other,P3
[code completion] stackoverflowerror in code completion for inner classes within lambdas,JDT,Linux,NEW,Core,P3
css in jenkins job attached files,Community,Mac OS X,CLOSED,CI-Jenkins,P3
undesirable markers from lsp4e,lsp4e,Windows 7,CLOSED,General,P3
failure exporting a feature for java1.8 which has plugins requiring packages that are removed in java-12,PDE,Windows 10,NEW,Build,P3
"debugging is stuck when ""command abort"" occurs on step return",CDT,Linux,RESOLVED,Other,P3
[language] support contextual classes,QVTd,Windows 10,NEW,Core,P3
multi-threaded object marking can give incorrect results on oome,MAT,Windows 10,RESOLVED,Core,P3
[pivot] avoid inter-project uri navigation from deresolve,OCL,Windows 10,RESOLVED,Core,P3
"improve tychos handling of includesource=""true"" in target definition",z_Archived,All,RESOLVED,Tycho,P3
tycho-source-feature-plugin should by default ignore missing sources,z_Archived,Linux,CLOSED,Tycho,P3
"tycho-p2-repository-plugin should provide an option ""includesource""",z_Archived,Linux,CLOSED,Tycho,P3
source for feature not found if it is included as a subfeature,z_Archived,Linux,CLOSED,Tycho,P3
tycho should support real pomless builds,z_Archived,All,CLOSED,Tycho,P3
changes in formating profiles are thrown away after restarting eclipse,Oomph,Windows 10,RESOLVED,Other,P3
malformedurlexception launching plugin junit test for debug,Equinox,Windows 10,NEW,Other,P3
named modules not picked up at runtime,Sisu,Linux,NEW,Other,P3
eclipse leaking memory,CDT,Mac OS X,CLOSED,Other,P3
npe when an invalid package is exported or opened,JDT,Mac OS X,RESOLVED,Core,P3
noclassdeffounderror: org/eclipse/ui/quickaccess/iquickaccesscomputerextension,Platform,Windows 10,CLOSED,UI,P3
tests may fail with outdated document content,JDT,Linux,NEW,Core,P3
